model,metrics,data0,data1,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data2,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data3,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data4,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data5,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data6,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data7,data70,data71,data72,data73,data74,data75,data76,data77,data78,data8,data9,Mean metrics
TIME-VAE-BASE,Jensen-Shannon,0.29996887562520463,0.2952146121533056,0.2600928651659339,0.27716593501698894,0.2884297131128805,0.30382773164854776,0.29956315920604704,0.2990875709687441,0.30084503194664075,0.30469418883382604,0.2937148193341986,0.26960009454265654,0.2965376080205808,0.2529359457545993,0.2402509197676838,0.2332271009101011,0.23036068990903671,0.23010204946875168,0.23617907267938004,0.21945509273949104,0.22016430634735126,0.2229525767256664,0.22419909414793426,0.28099298658742056,0.2206107603545171,0.22397601642272724,0.22076708552800406,0.20982544158880287,0.19353535554453394,0.18378049736158655,0.19305065592453388,0.1917844308062531,0.2010840556835456,0.20548830707721522,0.2739257914579608,0.20688318819517582,0.20505440028154537,0.21305420215950235,0.22101033582138305,0.2407356256507768,0.24195345674553137,0.24869673274247497,0.25768063507415584,0.26162246278914814,0.26326807911663525,0.26580477192046675,0.26579608254446413,0.268933201247339,0.250550972877574,0.24037862520505168,0.2390799017878668,0.22472044007947703,0.19929822549829412,0.18765959176393693,0.1793034297075357,0.17573186840240518,0.2732990581293311,0.1771568387366705,0.1710318087391407,0.17235333178122367,0.16440654906036897,0.17490195471877554,0.19583906629829118,0.21077755042675442,0.2106132926041621,0.2160437823721026,0.21615058739614998,0.26725559570491175,0.23593606783472318,0.2536613709071732,0.26127705743359625,0.2509871771815325,0.24076802699083477,0.24465883945178013,0.24711091879691116,0.26412748466457564,0.2664617655308587,0.25649745888024506,0.25202549895999843,0.23769554114650004
TIME-VAE-BASE,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
TIME-VAE-BASE,Kolmogorov-Smirnov,0.21658986175115214,0.20916438652073732,0.18078557027649778,0.19479946716589858,0.20254896313364057,0.21257560483870963,0.20910138248847931,0.21047847062211977,0.21141453052995393,0.21293562788018433,0.21190056163594473,0.19409742223502313,0.20710325460829493,0.16717669930875578,0.16462953629032262,0.15628600230414746,0.1544588853686636,0.16468353974654382,0.16218137960829493,0.16022825460829493,0.15704205069124433,0.1642875144009217,0.16105630760368672,0.20087485599078336,0.15462089573732718,0.1574200748847926,0.15434187788018428,0.1477624567972351,0.13274049539170507,0.1360437067972351,0.12976130472350234,0.13434259792626735,0.13725878456221208,0.1401119671658987,0.19583453341013823,0.14141705069124433,0.13898689516129026,0.13630472350230416,0.1409040178571429,0.15744707661290325,0.15823912730414746,0.16351346486175114,0.18132560483870966,0.17696932603686633,0.17642029089861752,0.1948084677419354,0.17981350806451624,0.18750900057603692,0.1798585109447005,0.16570960541474655,0.17032690092165903,0.1676267281105991,0.14578233006912444,0.1336405529953918,0.1292302707373273,0.12027469758064524,0.1898401497695852,0.12015769009216593,0.1209767425115208,0.11826756912442404,0.1195906538018433,0.12372191820276501,0.1372137816820277,0.14646637384792627,0.14766345046082952,0.1520107286866359,0.15458489343317983,0.18725698444700456,0.16201036866359453,0.16631264400921658,0.17698732718894017,0.16873379896313367,0.169984879032258,0.16961585541474655,0.17359411002304148,0.18483582949308763,0.1915142569124424,0.177671370967742,0.17158698156682028,0.16561196625444793
TIME-VAE-BASE,Kullback-Leibler,2804.0079367496683,2700.129218139105,2201.1369402143114,2454.7940579042497,2642.4458957032607,2897.3986774706354,2828.130502124088,2822.137345983685,2833.4417938400666,2903.5436887990654,2718.926976133717,2359.1149282834367,2777.8466392961654,2090.170679916019,1937.049378771531,1840.952606616323,1796.1026592674957,1786.339748085832,1919.8530362876772,1642.743094084548,1616.8896446163758,1670.123391154766,1743.466190909054,2449.451311854744,1617.451678738707,1734.948683543841,1655.5659381290714,1510.1032267923063,1342.5630405196027,1086.7585341967563,1293.4704561311787,1278.130798766559,1335.8933270060497,1478.8530120004493,2338.152737795672,1464.0862212861562,1432.0549322827483,1511.4455646166753,1672.4712523587323,1867.3908513377837,1951.7570057868538,2015.8303319757833,2139.1365308654167,2207.0039032785826,2217.3513826346034,2210.583667286487,2255.4233913953312,2337.551723926994,2048.54373489274,1935.7055955935946,1900.2188202984933,1760.9577096791963,1398.05229249076,1267.8862229248273,1200.8454518067367,1187.5263006659795,2353.012521350519,1159.906411037783,1117.2496961761515,1212.6112286297193,1058.6392266031098,1150.6245795080472,1355.5574301611648,1492.4384787731537,1484.0853135493821,1567.8303543122254,1559.9083301427816,2228.2851052157866,1841.8009668082573,2101.9257518794484,2176.465552378927,2101.779138618668,1933.8372920922277,1970.7883828966308,2015.5931958399833,2247.936844330949,2277.563488329709,2082.271518633227,2016.9059842023971,1906.2902209453262
TIME-VAE-BASE,L1,4889.930125860516,4797.227189141791,4146.437781764368,4502.6575114164525,4729.571905724119,4988.725551999449,4922.4216099628875,4915.982101380789,4962.527469143033,5024.782404833386,4753.593364211938,4267.125469184914,4772.738061171394,3942.6640218541443,3678.7612055113746,3557.073501145155,3527.2531859358287,3534.8542658595547,3528.5213751205147,3307.9887017567426,3363.9027145859945,3392.7813389703883,3342.5116769056012,4535.058450172399,3363.6134485042285,3347.689695569324,3330.7826212020263,3142.419714675061,2902.5995928110324,2809.8232001638758,2911.92983440968,2896.923005185059,3093.2915747502234,3078.997125819336,4396.916776524655,3119.9213779118086,3079.419728407767,3215.9516192969195,3305.7318807310266,3741.28240564662,3705.511374245407,3854.372478591664,4044.4531654551292,4118.234600974277,4177.06903351857,4267.9840135205895,4211.817197427583,4254.18004351937,3958.47240609481,3765.5038940079066,3764.7173497760014,3458.9794261841093,3059.002714957086,2870.9559617406567,2719.987284840935,2605.3258485043298,4356.968355641263,2658.7432783739523,2543.124847745779,2430.518192623058,2407.4330499504167,2616.694275282007,2950.5525327448695,3154.391345258413,3234.1021215461496,3296.6407514688085,3314.8519293605045,4288.5872727501055,3639.225453442087,3922.0128748881743,4142.687384051628,3890.102069541169,3756.9443472457065,3842.4715256057398,3886.052417812185,4183.183905324922,4218.2356274059775,4010.594573878545,3913.8136469182937,3704.011179208096
TIME-VAE-BASE,L2,302.3086756639544,297.7754669284835,263.96441076916284,282.0440935058952,293.2435894883615,309.3676738181248,305.53781600520483,304.2958175665765,305.9455163244893,308.7599586708896,294.99866634908756,269.2056980839783,296.3831550315204,253.49156243934237,240.0536853579463,232.49227119284112,231.1260364566408,232.02739272559865,232.82878908956602,220.8145634949815,224.6564335996227,226.47855548427864,223.96936253252863,283.82640869083485,224.4569862729678,224.21332957602831,222.95019334243258,210.83036483702668,195.67599157005864,190.71366188735558,195.56429627785533,194.26572502256224,205.01689239248935,204.3752302805903,275.7300146995009,207.4845432118945,205.73268311188843,214.97828738515938,219.63696458358504,244.0972793843617,241.70154476539554,250.78489059873354,261.09630347948445,264.04950907541917,266.9986450050933,267.54301795946276,268.5226100540526,268.9006686518985,251.91885311805714,240.87363214956494,241.03894038656944,222.82891535772416,200.10518479008184,188.64294287110533,179.19701125294853,173.60719635740887,272.834859828699,177.22950903161964,170.0529075396452,163.09502668674378,161.8136910807846,173.4384564311141,194.34232888455037,207.88453152567476,212.6398808853216,217.33467766315633,219.96430692843606,269.6989569751432,239.62218385051472,255.16208836840244,266.7580585653275,253.35020252255845,246.4883858829569,250.65756269269187,253.2047134812571,269.8824124703283,271.94411960597375,257.4481273495717,253.14496554169847,239.4572134527954
TIME-VAE-BASE,Wasserstein,0.009962225575967595,0.009496273870248203,0.00793806226648116,0.009160440442813493,0.00998189801658194,0.010532883007128528,0.010378541096833054,0.01037528562527448,0.010514040750603946,0.010781790453168476,0.0094967008051148,0.008140706653019806,0.009292821226458003,0.006999567804643272,0.006250253737228827,0.006000747155273894,0.005906281346252598,0.005932268080382477,0.0057704369175537,0.005285790130172365,0.005268472436091176,0.005284010615176465,0.005141847239423156,0.008637363027017859,0.005212066947227249,0.005152996219406809,0.005126905072011415,0.004848713237374454,0.004453222236714467,0.0042962587187196305,0.004464021306883994,0.0044757633812834,0.004812539463819143,0.0048090186255033505,0.008362729848909026,0.004847622498321544,0.004751697356012404,0.004925665479416999,0.0051149636459356185,0.006134342838719253,0.006133537281984913,0.006383568918115664,0.007079448462316069,0.007370881256122384,0.007533466396480008,0.008093988274115786,0.007657320718339757,0.007932418358065836,0.007239430094265834,0.0068267750606253565,0.0068798957388406185,0.0062475565241657365,0.005233663358228938,0.004868160990411852,0.004617115209452405,0.004227567172311333,0.008193560127194004,0.0042861927515593975,0.004107238710697264,0.0038169079533798317,0.0037736544069532025,0.004282176753142579,0.004847328907054667,0.005203543778714575,0.005313426321376638,0.005430441672791067,0.00542726630361237,0.007961171828018067,0.006189393100118923,0.0068349816554422425,0.007453764969040537,0.006895544249900818,0.006657525941805867,0.0068142427691774265,0.006903617874093485,0.00753556028473377,0.007564682634629381,0.006908879592282729,0.006505613141935585,0.006551249932869176
VAE-CONV1,Jensen-Shannon,0.2560870227212193,0.2510156229679868,0.21335395967660806,0.23197032746902524,0.24374945395428502,0.25918579855809054,0.2549066423910106,0.2545246782829852,0.2568510496950266,0.26119440644304837,0.24997815192687536,0.2244726971367231,0.25314088907212023,0.20695808149200995,0.19380498732533558,0.1868161894834033,0.1829811119105678,0.18182845684084378,0.1891678366301804,0.17110965012931514,0.16997408259051036,0.1726155481034749,0.1749659948518853,0.23619981660323902,0.17115291097904128,0.1745296385325,0.1713831818038148,0.16083264262624844,0.1437448810444835,0.13048216408035412,0.14252334981052828,0.1414123520300708,0.1503960025310969,0.15689829094466395,0.22900258065260112,0.15767718333264685,0.15514323534562807,0.16312869869763957,0.17279392151463077,0.19293959722452625,0.19572974786806424,0.2012005701770491,0.211001531913686,0.21551387018747759,0.21669320007315102,0.22125061068105661,0.21938760544999364,0.2240323632041743,0.2043574228784966,0.19463502397635996,0.19272941211224326,0.17894703932077696,0.15147618227035003,0.14010339095019406,0.13237657620111848,0.12957695214109208,0.22892596099005497,0.12934447374135333,0.12415576980909893,0.129089197486292,0.11896136605417221,0.12913493637115564,0.150390509969408,0.16595236302792765,0.16314060677442818,0.1686635305545881,0.16766402888750404,0.2222290053534935,0.1881764307528077,0.20778090097777835,0.21369285433948393,0.20439454859236716,0.19250362605016466,0.19628756249060975,0.19879489706364403,0.2163982673666383,0.21881484982990154,0.2100677982911346,0.20428821247871334,0.19074375043119307
VAE-CONV1,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
VAE-CONV1,Kolmogorov-Smirnov,0.18410678283410142,0.1766273041474654,0.14535930299539168,0.1612723214285714,0.17202800979262672,0.18392677131336405,0.18081257200460832,0.179552491359447,0.18607790898617516,0.187635008640553,0.17889544930875578,0.16027325748847931,0.17487219182027647,0.1365027361751152,0.12920326900921653,0.12041870679723499,0.11719650057603681,0.12553103398617516,0.12308287730414746,0.11965365783410142,0.11563040034562211,0.12216481854838712,0.11925763248847931,0.16812175979262678,0.11292122695852536,0.11548639112903225,0.11353326612903225,0.10665682603686633,0.09176987327188935,0.09300295218894017,0.08826864919354838,0.09127484158986177,0.09600914458525345,0.09906033986175111,0.1626044066820277,0.10086045506912444,0.09890733006912444,0.10653081797235023,0.10874495967741936,0.1299413162442396,0.13058035714285715,0.13594470046082952,0.15379284274193544,0.14959857430875576,0.1498055875576037,0.1614433323732718,0.14986859158986177,0.15012060771889402,0.1417410714285715,0.12825820852534564,0.13267749135944706,0.12900525633640558,0.10614379320276501,0.09521709389400923,0.0905187932027649,0.08117619527649778,0.15722206221198154,0.08060915898617516,0.07968209965437789,0.07556883640552992,0.0760008640552996,0.08218425979262678,0.09582013248847931,0.10461369527649766,0.10657582085253459,0.1105450748847926,0.11247119815668205,0.15415286578341014,0.1222098214285714,0.14027397753456222,0.1464303715437788,0.1327314948156682,0.1300133208525346,0.1298063076036866,0.13351454493087556,0.1451522897465437,0.15121867799539168,0.14209209389400923,0.13514364919354838,0.12928735033978883
