model,metrics,data0,data1,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data2,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data3,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data4,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data5,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data6,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data7,data70,data71,data72,data73,data74,data75,data76,data77,data78,data8,data9,Mean metrics
VAE-CONV1,Jensen-Shannon,0.3348590968421615,0.32723323627214446,0.2832851726123669,0.310212666582382,0.32662920624643266,0.3413351380238976,0.33735377010548984,0.3370731802414445,0.34043330243774084,0.3455978913106374,0.32532982485559836,0.2930954505269725,0.3250114807897858,0.26764697704919993,0.24748575267608275,0.23948697618394557,0.23645389615216308,0.23640998919105943,0.23377659417375585,0.21819408451621483,0.21897310962728309,0.21969662364877005,0.21559673424876855,0.30936077513038823,0.2181426385387333,0.21653730009877706,0.21489774398496855,0.2043310906482248,0.18869119312171148,0.18278481749200506,0.19001769287550882,0.19037703094954006,0.20380442020858197,0.20284114045410664,0.30217279510001716,0.20489973015844531,0.2017308365792915,0.2093361750247606,0.21504641748906198,0.24720309642921826,0.24554592874897474,0.25376432175565805,0.27051655860918894,0.27696663179979963,0.28126563149778644,0.2947434660062568,0.28440226769619753,0.28912578976013936,0.26961728733351215,0.2576056627389971,0.25808799285727135,0.23852031066630644,0.20916358179693456,0.19732892414532013,0.18753682801474816,0.1758951197207334,0.29930464125618866,0.1785336410691032,0.17164921445678308,0.16160224351626049,0.15977895491698732,0.1786786307070907,0.20010866718605214,0.21254098114577652,0.21701727737368462,0.22084342940810062,0.22037922336884735,0.29359861724875025,0.24387822376307772,0.26339048850057345,0.2805802086950483,0.2638324808538208,0.2547194796192389,0.26014597404324563,0.26237158325339044,0.28181526679129343,0.2831876810777772,0.2705049443681695,0.2603415501712559,0.249268794361215
VAE-CONV1,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
VAE-CONV1,Kolmogorov-Smirnov,0.18410678283410142,0.1766273041474654,0.14535930299539168,0.1612723214285714,0.17202800979262672,0.18392677131336405,0.18081257200460832,0.179552491359447,0.18607790898617516,0.187635008640553,0.17889544930875578,0.16027325748847931,0.17487219182027647,0.1365027361751152,0.12920326900921653,0.12041870679723499,0.11719650057603681,0.12553103398617516,0.12308287730414746,0.11965365783410142,0.11563040034562211,0.12216481854838712,0.11925763248847931,0.16812175979262678,0.11292122695852536,0.11548639112903225,0.11353326612903225,0.10665682603686633,0.09176987327188935,0.09300295218894017,0.08826864919354838,0.09127484158986177,0.09600914458525345,0.09906033986175111,0.1626044066820277,0.10086045506912444,0.09890733006912444,0.10653081797235023,0.10874495967741936,0.1299413162442396,0.13058035714285715,0.13594470046082952,0.15379284274193544,0.14959857430875576,0.1498055875576037,0.1614433323732718,0.14986859158986177,0.15012060771889402,0.1417410714285715,0.12825820852534564,0.13267749135944706,0.12900525633640558,0.10614379320276501,0.09521709389400923,0.0905187932027649,0.08117619527649778,0.15722206221198154,0.08060915898617516,0.07968209965437789,0.07556883640552992,0.0760008640552996,0.08218425979262678,0.09582013248847931,0.10461369527649766,0.10657582085253459,0.1105450748847926,0.11247119815668205,0.15415286578341014,0.1222098214285714,0.14027397753456222,0.1464303715437788,0.1327314948156682,0.1300133208525346,0.1298063076036866,0.13351454493087556,0.1451522897465437,0.15121867799539168,0.14209209389400923,0.13514364919354838,0.12928735033978883
VAE-CONV1,Kullback-Leibler,inf,703.8921930252695,inf,551.4574060264081,554.7240540256411,598.8938882460506,582.4866584140183,564.1525348930935,549.7975000555438,550.1477400881686,481.75727478961545,410.91308585039644,710.6437808643122,427.10213582017764,418.6716054497057,437.5239671203158,434.259829063599,485.6013467766214,516.6209971360652,542.6241834314022,485.10262276485753,503.6249398075339,501.84080750675065,619.9949549878081,515.2742430002423,591.698618673429,406.40704387334796,388.10715036743346,363.47653359769185,inf,468.2724611862176,552.5512699650324,inf,477.9211262409907,inf,483.90277446331265,521.6848881252818,359.3413364695108,341.61895334191706,415.32522150632195,396.4796802412099,420.09593078875133,448.4087193818591,459.4060275953521,607.1305367501876,inf,457.66095758096805,467.9353586349982,497.80525453071533,inf,inf,inf,414.43512948769705,406.69269311754454,242.1469046851361,217.8163280491067,inf,215.0970225702004,inf,262.3429481860027,260.6427641690219,308.99811851885346,321.9741494300048,328.036666482663,337.810621441057,338.9735705708491,339.2842530721736,inf,391.3741769069577,430.1516103430117,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
VAE-CONV1,Wasserstein,0.00914902384387766,0.008686633964647873,0.007127198942592436,0.008350260929453285,0.009173268640185172,0.00972505171743957,0.009575202856995781,0.009569327336953457,0.00971654876564953,0.00998426595405355,0.00868346768671797,0.007326422918541354,0.008484184881292076,0.006206929508013229,0.005446173193417666,0.005198848613706771,0.0051016186360720505,0.005108530985021752,0.0049503268878297,0.004455910868881696,0.0044432555292383,0.00445234279398012,0.004312396037794039,0.007822393575333736,0.004387680815766622,0.0043249936042762845,0.004300767500797452,0.004020279234100407,0.0036304815044974747,0.0034619455355476606,0.0036425792122933114,0.003644685041994288,0.003989615360895917,0.003982791342301032,0.007547799475830147,0.004023478884725354,0.003929968108782663,0.004126512981403867,0.004309903076088894,0.005331936196367308,0.005338979816452729,0.0055871151218979875,0.006300570027445996,0.00657506377031731,0.006729167212427585,0.007272721352093015,0.006845259535408043,0.0071137705967924125,0.006414552949364237,0.006011181784366867,0.006055682193051467,0.005413221902983188,0.0044019950771148645,0.004041575559085754,0.0037852683609323873,0.0034027093296292708,0.00738451415232217,0.0034648048117229013,0.0032725223617097246,0.002979929685243403,0.002935977340523456,0.003447014214142489,0.004013401979547246,0.0043696969596272,0.004483887566919848,0.004600188079717045,0.0045942403803956745,0.007151340330849678,0.005365302543440736,0.006023659858552184,0.006636380794401221,0.006074288675521736,0.005827975205843789,0.005987469850961989,0.006075138109130567,0.006708725434433676,0.006734088123229975,0.006094478848819898,0.005694106271160709,0.005733075558366304
VAE-CONV3,Jensen-Shannon,0.18042580876509015,0.1885167260691308,0.23819060007758314,0.20657834754292947,0.18737170726381383,0.17327982701253788,0.17754623683457757,0.17762398257264905,0.17400493756912766,0.16749448360177893,0.1913418681235525,0.22823703512292415,0.1921346944703017,0.25882649493845056,0.2812985465021038,0.28828970489956096,0.2915621185084192,0.2918051082957995,0.2965480500238489,0.31244359929345594,0.3125893247330136,0.31300407496174254,0.3173732705953331,0.2098103387838297,0.31388779813534196,0.3160945374720026,0.3159915691281604,0.32415477349308314,0.3367459693931201,0.34258041644759807,0.33581064831323315,0.33519802140251587,0.32301991298196703,0.3235142530025294,0.21669184613411574,0.32237511258857826,0.3258919879271845,0.32023220871052915,0.3146782076670466,0.2820527724455004,0.2826931664817907,0.276196237930216,0.25807300915343706,0.24884405269587206,0.24481640595793275,0.22387125528927546,0.2414421246544774,0.23484940702770493,0.25513454937475777,0.266137536301309,0.26521475696237934,0.28488596629747504,0.31373613922532245,0.3245356251555942,0.3324025234931629,0.34392111666144815,0.22000016135271,0.3419833860039917,0.34889588996792903,0.3592165636698789,0.36091294439616234,0.3421587544368702,0.3233015569042003,0.3125817019202573,0.30889551363057116,0.30586390190209367,0.30689235045780566,0.2267466957672209,0.2835455441215159,0.2651090794532588,0.24828238104087466,0.2646569147899867,0.27362799478339567,0.268164339995699,0.2661144150166564,0.24773978933421276,0.24751900512604177,0.25715930706961193,0.2703130419475862,0.2753373674374018
VAE-CONV3,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
VAE-CONV3,Kolmogorov-Smirnov,0.1211207517281106,0.12271385368663595,0.1510386664746544,0.13184043778801843,0.11828557027649769,0.10806991647465436,0.11275021601382487,0.11346126152073732,0.10854694700460832,0.10430767569124422,0.1293022753456221,0.15456689228110596,0.12426195276497695,0.1611463133640553,0.1800295218894009,0.18093858006912442,0.18119959677419356,0.18720298099078342,0.1869419642857143,0.20006480414746544,0.19505148329493088,0.19963277649769584,0.20235995103686635,0.13796082949308755,0.19347638248847926,0.19755364343317972,0.19581653225806453,0.20172091013824883,0.20848034274193544,0.2142047091013825,0.20241395449308752,0.20469110023041476,0.1944034418202765,0.19758964573732718,0.1427041330645161,0.1967615927419355,0.19888572868663595,0.1907942108294931,0.18853506624423966,0.16900381624423966,0.17012888824884798,0.16597962269585254,0.16308143721198165,0.15336081509216593,0.15025561635944706,0.15002160138248846,0.14702440956221208,0.145206293202765,0.16080429147465436,0.16499855990783407,0.167563724078341,0.18813004032258066,0.20034382200460832,0.20498811923963134,0.21111751152073732,0.21395269297235026,0.14119203629032256,0.209794426843318,0.21788594470046083,0.22379932315668202,0.22705753168202766,0.21354766705069123,0.2000198012672811,0.1924503168202765,0.18897609447004607,0.18788702476958524,0.1896151353686636,0.14582733294930875,0.17192900345622117,0.16684367799539168,0.1559079781105991,0.1644495247695853,0.16747371831797242,0.16688868087557607,0.16416150633640547,0.15419786866359453,0.15057963709677424,0.1617673531105991,0.16743771601382487,0.17210730600682494
VAE-CONV3,Kullback-Leibler,inf,309.5751322760748,inf,300.60791211627316,235.10921268313854,202.10756665366276,196.56585386134384,185.95569449568922,169.1151739551905,151.19718587195948,197.69293669374014,286.0410763514998,328.68154797708337,399.80742290224055,505.25219865325596,536.5831249701288,551.8972356080021,536.1221547242092,596.7512272654945,683.3599191538661,678.4665543240353,690.3547252982737,714.7200161752588,368.95367177018835,683.2126937293109,707.9554465138114,889.6488386080603,937.0211463972967,942.9645742385271,inf,986.6116190792848,992.6937907521021,inf,994.3513130667859,inf,992.5064093387772,1030.792470074811,1112.1918787528834,954.2645747859303,744.8455905328992,683.3365676699076,652.296624842185,489.4877272817432,447.8175379059015,400.44657758791436,inf,364.9742958079012,342.4076650356696,418.3919098758651,inf,inf,inf,708.3512181250923,767.7286135610425,1002.3816763013474,1101.9660084208904,inf,1089.1083183127896,inf,1102.7296683187706,1113.0593568860006,967.4890535130166,853.6211388950863,784.3535029419963,768.6450042661324,741.6889485462032,747.5127621204189,inf,629.342365358407,514.866003364042,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
VAE-CONV3,Wasserstein,0.007417566542442336,0.007774053196492194,0.009407368745758376,0.008238301728223813,0.007463591570639654,0.006938455235617656,0.0070898997170399485,0.007105247466848875,0.006977637642739966,0.006744511750248754,0.007878371165177436,0.00921561352575172,0.007948474952939948,0.010306855250744706,0.01104309453833629,0.011290404667211953,0.011390821543352475,0.011397337758543803,0.011529796477494051,0.012014191340150103,0.012011746804080991,0.012016023188632001,0.01214093468921665,0.008606780364609774,0.01204964161661319,0.012109882230928598,0.012109813065636924,0.01238622010068256,0.012770246944515382,0.01295272287871035,0.012746787067281684,0.012747124655416043,0.012387062275930644,0.012398898149574282,0.00886673184524458,0.012352213894861281,0.012449215447445297,0.0122494323404723,0.012079156378989073,0.01106327868287191,0.011081155787404104,0.010841373627616715,0.010203297687061531,0.009920683025208404,0.009782286165558372,0.009144089137319893,0.00967537037896275,0.00942704309405386,0.010124163255020262,0.010497577012118715,0.010477074750089648,0.011137863997229262,0.012066530580890456,0.012403221438466571,0.01265179882645756,0.013016216167998194,0.009014371303788113,0.01295260900425613,0.013167754731366447,0.013457422749462777,0.013512672227824445,0.012980310779380569,0.012423827743539943,0.012092272439422392,0.011961596279664626,0.011855542999452195,0.011876019775841313,0.009246035899314213,0.01108942558721561,0.010437506926677848,0.009869009161967191,0.010438801427968237,0.010723786002472403,0.010535851972553995,0.01047001045218425,0.009854058244938744,0.009866586371583054,0.010298101708699079,0.010708406226762697,0.010746167498547598
